entry_time,exit_time,direction,strategy,entry_price,exit_price,sl_price,tp_price,sl_pips,tp_pips,volume_units,pnl_pips,pnl_usd,exit_reason,bars_held
2023-09-14T10:00:00,2023-09-14T13:00:00,Sell,TrendFollowing,1.07275,1.06627,1.06627,1.06875,20.0,40.0,3000,+64.78,+19.2255,Trail,3
2023-09-20T09:00:00,2023-09-20T14:00:00,Buy,TrendFollowing,1.06971,1.07113,1.07113,1.07371,20.0,40.0,3000,+14.19,+4.0477,Trail,5
2024-02-29T07:00:00,2024-02-29T08:00:00,Sell,TrendFollowing,1.08278,1.08376,1.08478,1.07878,20.0,40.0,3000,-9.80,-3.1500,StratExit,1
2024-03-12T08:00:00,2024-03-12T12:00:00,Sell,TrendFollowing,1.09238,1.09079,1.09079,1.08838,20.0,40.0,3000,+15.92,+4.5670,Trail,4
2024-03-13T11:00:00,2024-03-13T17:00:00,Buy,TrendFollowing,1.09430,1.09579,1.09579,1.09830,20.0,40.0,3000,+14.91,+4.2640,Trail,6
2024-03-14T12:00:00,2024-03-14T13:00:00,Sell,TrendFollowing,1.09288,1.09148,1.09148,1.08888,20.0,40.0,3000,+14.00,+3.9903,Trail,1
2024-03-18T09:00:00,2024-03-18T15:00:00,Buy,TrendFollowing,1.09002,1.08853,1.08802,1.09402,20.0,40.0,3000,-14.90,-4.6800,StratExit,6
2024-04-10T10:00:00,2024-04-10T13:00:00,Buy,TrendFollowing,1.08625,1.08425,1.08425,1.09025,20.0,40.0,3000,-20.00,-6.2100,SL,3
2024-05-07T07:00:00,2024-05-07T13:00:00,Sell,TrendFollowing,1.07626,1.07755,1.07826,1.07226,20.0,40.0,3000,-12.90,-4.0800,StratExit,6
2024-05-21T11:00:00,2024-05-21T13:00:00,Buy,TrendFollowing,1.08676,1.08570,1.08476,1.09076,20.0,40.0,3000,-10.60,-3.3900,StratExit,2
2024-05-23T12:00:00,2024-05-23T14:00:00,Buy,TrendFollowing,1.08515,1.08545,1.08545,1.08915,20.0,40.0,3000,+3.00,+0.6891,Trail,2
2024-05-31T09:00:00,2024-05-31T10:00:00,Buy,TrendFollowing,1.08351,1.08415,1.08415,1.08751,20.0,40.0,3000,+6.45,+1.7248,Trail,1
2024-06-12T11:00:00,2024-06-12T13:00:00,Buy,TrendFollowing,1.07596,1.08241,1.08241,1.07996,20.0,40.0,3000,+64.45,+19.1250,Trail,2
2024-06-24T09:00:00,2024-06-24T10:00:00,Buy,TrendFollowing,1.07145,1.07226,1.07226,1.07545,20.0,40.0,3000,+8.10,+2.2209,Trail,1
2024-06-27T11:00:00,2024-06-27T13:00:00,Buy,TrendFollowing,1.07046,1.07157,1.07157,1.07446,20.0,40.0,3000,+11.13,+3.1276,Trail,2
2024-07-23T08:00:00,2024-07-23T09:00:00,Sell,TrendFollowing,1.08750,1.08732,1.08732,1.08350,20.0,40.0,3000,+1.81,+0.3316,Trail,1
2024-08-09T08:00:00,2024-08-09T09:00:00,Buy,TrendFollowing,1.09228,1.09175,1.09028,1.09628,20.0,40.0,3000,-5.30,-1.8000,StratExit,1
2024-09-11T07:00:00,2024-09-11T13:00:00,Buy,TrendFollowing,1.10461,1.10261,1.10261,1.10861,20.0,40.0,3000,-20.00,-6.2100,SL,6
2024-09-18T07:00:00,2024-09-18T08:00:00,Sell,TrendFollowing,1.11176,1.11311,1.11376,1.10776,20.0,40.0,3000,-13.50,-4.2600,StratExit,1
2024-10-21T11:00:00,2024-10-21T15:00:00,Sell,TrendFollowing,1.08464,1.08389,1.08389,1.08064,20.0,40.0,3000,+7.52,+2.0447,Trail,4
2024-10-24T09:00:00,2024-10-24T18:00:00,Buy,TrendFollowing,1.08040,1.08172,1.08172,1.08440,20.0,40.0,3000,+13.19,+3.7473,Trail,9
2024-10-28T11:00:00,2024-10-29T11:00:00,Buy,TrendFollowing,1.08204,1.08004,1.08004,1.08604,20.0,40.0,3000,-20.00,-6.2100,SL,24
2025-12-10T08:00:00,2025-12-10T10:00:00,Buy,TrendFollowing,1.16535,1.16335,1.16335,1.16935,20.0,40.0,3000,-20.00,-6.2100,SL,2
2025-12-22T08:00:00,2025-12-22T13:00:00,Buy,TrendFollowing,1.17368,1.17468,1.17468,1.17768,20.0,40.0,3000,+10.02,+2.7972,Trail,5
2025-12-26T07:00:00,2025-12-26T12:00:00,Sell,TrendFollowing,1.17718,1.17815,1.17918,1.17318,20.0,40.0,3000,-9.70,-3.1200,FriClose,5
