bb_period,bb_dev,rsi_os,adx_thr,sl_atr,is_n,is_wr,is_pf,is_net,is_exp,oos_n,oos_wr,oos_pf,oos_net,oos_exp
30,1.5,30.0,30.0,1.0,313,65.8,1.10,84.35,0.2695,162,64.2,0.94,-24.88,-0.1536
30,1.5,30.0,30.0,1.5,283,73.9,1.12,60.00,0.2120,141,78.0,1.32,70.16,0.4976
30,1.5,30.0,30.0,2.0,255,80.0,1.28,86.60,0.3396,129,81.4,1.22,34.79,0.2697
30,1.5,35.0,20.0,1.0,232,64.7,1.27,184.56,0.7955,130,65.4,1.11,40.91,0.3147
30,1.5,35.0,20.0,1.5,208,70.2,1.14,58.85,0.2829,121,71.9,0.98,-4.98,-0.0411
30,1.5,35.0,20.0,2.0,198,75.8,1.16,48.45,0.2447,112,75.9,0.92,-12.83,-0.1145
30,1.5,35.0,25.0,1.0,476,62.4,1.06,78.32,0.1645,274,61.3,0.86,-96.47,-0.3521
30,1.5,35.0,25.0,1.5,415,69.9,0.97,-23.67,-0.0570,244,73.0,1.03,10.10,0.0414
30,1.5,35.0,25.0,2.0,380,76.3,1.06,31.58,0.0831,215,77.7,1.00,0.32,0.0015
30,1.5,35.0,30.0,1.0,708,63.8,1.05,98.26,0.1388,410,64.9,0.96,-38.25,-0.0933
30,1.5,35.0,30.0,1.5,610,71.6,1.05,58.53,0.0959,353,75.4,1.15,92.14,0.2610
30,1.5,35.0,30.0,2.0,552,76.6,1.07,57.41,0.1040,312,79.2,1.11,43.46,0.1393
30,2.0,25.0,20.0,1.0,20,50.0,0.78,-14.59,-0.7297,9,77.8,1.78,10.28,1.1424
30,2.0,25.0,20.0,1.5,20,50.0,0.47,-32.81,-1.6407,8,87.5,2.13,5.78,0.7221
30,2.0,25.0,20.0,2.0,18,61.1,0.57,-15.82,-0.8788,8,87.5,1.34,2.29,0.2858
30,2.0,25.0,25.0,1.0,53,56.6,0.82,-26.85,-0.5066,30,63.3,1.07,5.37,0.1791
30,2.0,25.0,25.0,1.5,48,66.7,0.85,-15.24,-0.3175,28,85.7,2.16,28.42,1.0150
30,2.0,25.0,25.0,2.0,42,73.8,0.96,-2.30,-0.0547,27,88.9,2.35,23.92,0.8861
30,2.0,25.0,30.0,1.0,99,61.6,0.92,-18.57,-0.1875,65,69.2,1.36,47.13,0.7251
30,2.0,25.0,30.0,1.5,88,71.6,0.98,-3.93,-0.0447,59,84.7,2.26,67.36,1.1417
30,2.0,25.0,30.0,2.0,80,77.5,1.10,9.79,0.1223,57,87.7,1.93,41.47,0.7275
30,2.0,30.0,20.0,1.0,69,65.2,1.16,26.29,0.3810,33,69.7,1.49,34.59,1.0481
30,2.0,30.0,20.0,1.5,66,68.2,0.91,-12.32,-0.1867,31,80.6,1.65,23.55,0.7597
30,2.0,30.0,20.0,2.0,63,74.6,0.90,-9.49,-0.1506,31,83.9,1.56,16.53,0.5333
30,2.0,30.0,25.0,1.0,171,64.3,1.07,27.93,0.1633,96,58.3,0.81,-51.72,-0.5387
30,2.0,30.0,25.0,1.5,154,70.1,0.93,-19.28,-0.1252,87,72.4,0.95,-7.51,-0.0863
30,2.0,30.0,25.0,2.0,140,76.4,0.92,-14.46,-0.1033,82,78.0,0.97,-3.36,-0.0410
30,2.0,30.0,30.0,1.0,285,66.0,1.08,53.94,0.1893,147,63.9,0.97,-12.22,-0.0831
30,2.0,30.0,30.0,1.5,256,73.4,1.04,19.08,0.0745,128,77.3,1.32,59.35,0.4637
30,2.0,30.0,30.0,2.0,231,79.7,1.12,34.04,0.1474,116,81.0,1.14,19.87,0.1713
30,2.0,35.0,20.0,1.0,205,67.3,1.34,177.86,0.8676,113,67.3,1.16,51.04,0.4517
30,2.0,35.0,20.0,1.5,188,71.8,1.12,42.67,0.2270,106,73.6,1.03,5.38,0.0508
30,2.0,35.0,20.0,2.0,179,76.5,1.09,23.02,0.1286,100,77.0,0.93,-9.41,-0.0941
30,2.0,35.0,25.0,1.0,401,62.1,1.00,-4.59,-0.0114,225,62.7,0.91,-44.87,-0.1994
30,2.0,35.0,25.0,1.5,355,69.6,0.94,-41.79,-0.1177,201,73.6,1.01,2.36,0.0117
30,2.0,35.0,25.0,2.0,327,75.5,0.93,-30.75,-0.0940,184,77.7,0.93,-15.78,-0.0858
30,2.0,35.0,30.0,1.0,556,63.8,1.05,67.75,0.1219,313,65.8,1.02,12.66,0.0405
30,2.0,35.0,30.0,1.5,490,71.4,1.04,33.79,0.0690,276,76.4,1.19,84.71,0.3069
30,2.0,35.0,30.0,2.0,447,76.7,1.05,31.40,0.0702,251,80.5,1.12,36.81,0.1466
30,2.5,25.0,20.0,1.0,19,47.4,0.70,-19.70,-1.0370,9,77.8,1.67,8.89,0.9876
30,2.5,25.0,20.0,1.5,19,47.4,0.43,-35.37,-1.8615,8,87.5,2.13,5.78,0.7221
30,2.5,25.0,20.0,2.0,17,58.8,0.51,-18.37,-1.0808,8,87.5,1.34,2.29,0.2858
30,2.5,25.0,25.0,1.0,48,52.1,0.69,-44.82,-0.9337,28,64.3,1.12,7.85,0.2805
30,2.5,25.0,25.0,1.5,44,63.6,0.73,-26.77,-0.6084,27,85.2,2.30,28.95,1.0723
30,2.5,25.0,25.0,2.0,38,71.1,0.79,-11.85,-0.3119,26,88.5,2.25,22.10,0.8498
30,2.5,25.0,30.0,1.0,84,57.1,0.81,-43.21,-0.5144,51,66.7,1.22,22.59,0.4430
30,2.5,25.0,30.0,1.5,74,68.9,0.87,-19.02,-0.2571,48,81.2,1.70,35.85,0.7469
30,2.5,25.0,30.0,2.0,66,74.2,0.95,-5.12,-0.0776,46,84.8,1.66,25.49,0.5542
30,2.5,30.0,20.0,1.0,60,65.0,1.21,30.87,0.5145,28,78.6,2.39,59.79,2.1353
30,2.5,30.0,20.0,1.5,58,69.0,0.98,-2.29,-0.0394,26,84.6,2.11,30.02,1.1548
30,2.5,30.0,20.0,2.0,55,76.4,1.08,6.17,0.1121,26,88.5,2.00,21.27,0.8180
30,2.5,30.0,25.0,1.0,132,63.6,1.09,28.29,0.2143,75,57.3,0.85,-32.55,-0.4341
30,2.5,30.0,25.0,1.5,122,70.5,0.99,-1.99,-0.0163,71,71.8,0.98,-1.83,-0.0258
30,2.5,30.0,25.0,2.0,111,76.6,0.96,-5.75,-0.0518,66,78.8,1.10,7.97,0.1208
30,2.5,30.0,30.0,1.0,205,64.9,1.10,52.79,0.2575,106,61.3,0.94,-16.24,-0.1532
30,2.5,30.0,30.0,1.5,186,72.6,1.03,11.10,0.0597,97,74.2,1.14,21.59,0.2226
30,2.5,30.0,30.0,2.0,171,78.9,1.15,32.28,0.1888,88,79.5,1.07,8.14,0.0925
30,2.5,35.0,20.0,1.0,138,67.4,1.26,84.97,0.6157,76,61.8,0.88,-25.65,-0.3375
30,2.5,35.0,20.0,1.5,129,73.6,1.13,29.55,0.2291,69,68.1,0.78,-31.18,-0.4519
30,2.5,35.0,20.0,2.0,124,79.8,1.30,44.87,0.3618,66,72.7,0.74,-28.73,-0.4353
30,2.5,35.0,25.0,1.0,245,62.9,1.02,15.25,0.0623,147,56.5,0.75,-98.18,-0.6679
30,2.5,35.0,25.0,1.5,226,71.2,1.00,0.71,0.0031,132,68.9,0.82,-43.38,-0.3286
30,2.5,35.0,25.0,2.0,212,77.4,1.06,17.82,0.0841,121,76.0,0.82,-29.90,-0.2471
30,2.5,35.0,30.0,1.0,334,64.4,1.09,72.69,0.2176,189,59.3,0.81,-101.41,-0.5366
30,2.5,35.0,30.0,1.5,301,72.4,1.03,15.87,0.0527,169,71.0,0.96,-13.16,-0.0779
30,2.5,35.0,30.0,2.0,279,78.1,1.12,43.05,0.1543,154,77.3,0.94,-12.43,-0.0807
