timestamp_utc,open,high,low,close
2015-01-01 18:00:00,0.77900,0.77921,0.77828,0.77840
2015-01-01 19:00:00,0.77852,0.77883,0.77852,0.77852
2015-01-01 22:00:00,0.78003,0.78006,0.77885,0.77959
2015-01-01 23:00:00,0.77961,0.77970,0.77838,0.77922
2015-01-02 00:00:00,0.77921,0.77975,0.77856,0.77869
2015-01-02 01:00:00,0.77869,0.77875,0.77586,0.77642
2015-01-02 02:00:00,0.77641,0.77686,0.77569,0.77595
2015-01-02 03:00:00,0.77597,0.77602,0.77519,0.77567
2015-01-02 04:00:00,0.77568,0.77588,0.77452,0.77462
2015-01-02 05:00:00,0.77460,0.77594,0.77460,0.77548
2015-01-02 06:00:00,0.77547,0.77603,0.77533,0.77579
2015-01-02 07:00:00,0.77580,0.77582,0.77452,0.77550
2015-01-02 08:00:00,0.77548,0.77645,0.77485,0.77549
2015-01-02 09:00:00,0.77548,0.77583,0.77437,0.77479
2015-01-02 10:00:00,0.77481,0.77506,0.77363,0.77389
2015-01-02 11:00:00,0.77386,0.77405,0.77242,0.77271
2015-01-02 12:00:00,0.77271,0.77305,0.77029,0.77080
2015-01-02 13:00:00,0.77081,0.77158,0.77044,0.77097
2015-01-02 14:00:00,0.77096,0.77110,0.76993,0.77036
2015-01-02 15:00:00,0.77036,0.77293,0.77036,0.77239
2015-01-02 16:00:00,0.77241,0.77272,0.77056,0.77093
2015-01-02 17:00:00,0.77095,0.77118,0.76971,0.77005
2015-01-02 18:00:00,0.77007,0.77049,0.76986,0.77004
2015-01-02 19:00:00,0.77003,0.77081,0.76975,0.77076
2015-01-02 20:00:00,0.77072,0.77084,0.76938,0.76964
2015-01-02 21:00:00,0.76966,0.77048,0.76898,0.76957
2015-01-04 22:00:00,0.76792,0.76856,0.76643,0.76676
2015-01-04 23:00:00,0.76676,0.76722,0.76520,0.76625
2015-01-05 00:00:00,0.76627,0.76856,0.76627,0.76710
2015-01-05 01:00:00,0.76711,0.76826,0.76595,0.76658
2015-01-05 02:00:00,0.76662,0.76737,0.76488,0.76493
2015-01-05 03:00:00,0.76494,0.76504,0.76181,0.76286
2015-01-05 04:00:00,0.76285,0.76392,0.76203,0.76347
2015-01-05 05:00:00,0.76348,0.76391,0.76246,0.76377
2015-01-05 06:00:00,0.76375,0.76375,0.76274,0.76345
2015-01-05 07:00:00,0.76346,0.76442,0.76267,0.76386
2015-01-05 08:00:00,0.76386,0.76612,0.76383,0.76570
2015-01-05 09:00:00,0.76571,0.76739,0.76486,0.76720
2015-01-05 10:00:00,0.76721,0.76771,0.76573,0.76583
2015-01-05 11:00:00,0.76581,0.76686,0.76556,0.76673
2015-01-05 12:00:00,0.76678,0.76741,0.76634,0.76684
2015-01-05 13:00:00,0.76684,0.76940,0.76673,0.76815
2015-01-05 14:00:00,0.76815,0.76993,0.76797,0.76977
