timestamp_utc,open,high,low,close
2015-01-01 18:00:00,1.55788,1.55791,1.55742,1.55791
2015-01-01 22:00:00,1.55787,1.55871,1.55733,1.55803
2015-01-01 23:00:00,1.55799,1.55828,1.55683,1.55787
2015-01-02 00:00:00,1.55783,1.55822,1.55617,1.55634
2015-01-02 01:00:00,1.55634,1.55678,1.55420,1.55531
2015-01-02 02:00:00,1.55530,1.55555,1.55408,1.55450
2015-01-02 03:00:00,1.55452,1.55570,1.55416,1.55546
2015-01-02 04:00:00,1.55544,1.55574,1.55409,1.55443
2015-01-02 05:00:00,1.55440,1.55474,1.55408,1.55465
2015-01-02 06:00:00,1.55468,1.55507,1.55410,1.55446
2015-01-02 07:00:00,1.55449,1.55471,1.55352,1.55394
2015-01-02 08:00:00,1.55397,1.55477,1.55148,1.55303
2015-01-02 09:00:00,1.55303,1.55373,1.54761,1.54793
2015-01-02 10:00:00,1.54793,1.54804,1.54400,1.54447
2015-01-02 11:00:00,1.54445,1.54535,1.54269,1.54386
2015-01-02 12:00:00,1.54384,1.54428,1.54124,1.54262
2015-01-02 13:00:00,1.54262,1.54394,1.54132,1.54166
2015-01-02 14:00:00,1.54166,1.54194,1.53888,1.53953
2015-01-02 15:00:00,1.53953,1.54102,1.53862,1.53881
2015-01-02 16:00:00,1.53881,1.53917,1.53561,1.53605
2015-01-02 17:00:00,1.53605,1.53634,1.53524,1.53585
2015-01-02 18:00:00,1.53585,1.53585,1.53519,1.53528
2015-01-02 19:00:00,1.53526,1.53551,1.53304,1.53354
2015-01-02 20:00:00,1.53354,1.53409,1.53273,1.53335
2015-01-02 21:00:00,1.53333,1.53348,1.53244,1.53247
2015-01-04 22:00:00,1.52926,1.52980,1.51828,1.52679
2015-01-04 23:00:00,1.52681,1.52989,1.52610,1.52840
2015-01-05 00:00:00,1.52840,1.53195,1.52840,1.53088
2015-01-05 01:00:00,1.53088,1.53181,1.52977,1.53026
2015-01-05 02:00:00,1.53027,1.53038,1.52906,1.52906
2015-01-05 03:00:00,1.52902,1.52947,1.52837,1.52882
2015-01-05 04:00:00,1.52883,1.52917,1.52840,1.52866
2015-01-05 05:00:00,1.52866,1.52907,1.52776,1.52857
2015-01-05 06:00:00,1.52856,1.52870,1.52734,1.52820
2015-01-05 07:00:00,1.52820,1.52993,1.52795,1.52901
2015-01-05 08:00:00,1.52905,1.53196,1.52905,1.53045
2015-01-05 09:00:00,1.53044,1.53135,1.52855,1.53058
2015-01-05 10:00:00,1.53059,1.53074,1.52665,1.52671
2015-01-05 11:00:00,1.52677,1.52720,1.52490,1.52536
2015-01-05 12:00:00,1.52532,1.52543,1.52050,1.52146
2015-01-05 13:00:00,1.52141,1.52369,1.52052,1.52077
2015-01-05 14:00:00,1.52082,1.52342,1.52031,1.52311
2015-01-05 15:00:00,1.52312,1.52467,1.52196,1.52395
2015-01-05 16:00:00,1.52396,1.52438,1.52294,1.52333
2015-01-05 17:00:00,1.52336,1.52406,1.52246,1.52261
2015-01-05 18:00:00,1.52258,1.52490,1.52213,1.52490
2015-01-05 19:00:00,1.52490,1.52606,1.52446,1.52544
2015-01-05 20:00:00,1.52542,1.52706,1.52516,1.52527
2015-01-05 21:00:00,1.52526,1.52602,1.52464,1.52469
2015-01-05 22:00:00,1.52463,1.52539,1.52461,1.52516
2015-01-05 23:00:00,1.52512,1.52614,1.52492,1.52569
2015-01-06 00:00:00,1.52568,1.52654,1.52545,1.52654
2015-01-06 01:00:00,1.52653,1.52656,1.52566,1.52604
2015-01-06 02:00:00,1.52605,1.52736,1.52596,1.52629
2015-01-06 03:00:00,1.52629,1.52661,1.52564,1.52590
2015-01-06 04:00:00,1.52594,1.52612,1.52567,1.52585
2015-01-06 05:00:00,1.52585,1.52617,1.52570,1.52609
2015-01-06 06:00:00,1.52609,1.52706,1.52557,1.52600
2015-01-06 07:00:00,1.52601,1.52601,1.52296,1.52313
2015-01-06 08:00:00,1.52308,1.52482,1.52143,1.52434
2015-01-06 09:00:00,1.52434,1.52469,1.51878,1.52023
2015-01-06 10:00:00,1.52022,1.52039,1.51761,1.51868
2015-01-06 11:00:00,1.51867,1.52065,1.51838,1.51924
2015-01-06 12:00:00,1.51922,1.51993,1.51842,1.51924
2015-01-06 13:00:00,1.51922,1.51958,1.51674,1.51792
2015-01-06 14:00:00,1.51792,1.51817,1.51522,1.51751
2015-01-06 15:00:00,1.51752,1.51976,1.51631,1.51699
